Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
2711,650,7820,29,0.24,2.88
1830,540,5200,31,0.30,2.84
1131,333,2930,30,0.29,2.59
2226,511,6340,31,0.23,2.85
3167,904,9220,29,0.29,2.91
1433,372,4020,30,0.26,2.81
4912,1259,14440,31,0.26,2.94
847,301,2190,29,0.36,2.59
1237,347,3420,31,0.28,2.76
286,107,780,16,0.37,2.73
3257,946,9530,29,0.29,2.93
2257,643,6400,30,0.28,2.84
4070,1029,11940,31,0.25,2.93
4023,1410,11800,30,0.35,2.93
3503,808,10290,31,0.23,2.94
4465,1268,13150,32,0.28,2.95
1415,326,3950,30,0.23,2.79
3181,891,9260,31,0.28,2.91
3186,904,9280,30,0.28,2.91
2534,1191,7280,31,0.47,2.87
147,52,290,15,0.35,1.97
1535,437,4320,30,0.28,2.81
2107,758,5980,30,0.36,2.84
457,128,1230,21,0.28,2.69
2702,784,7770,30,0.29,2.88
129,140,260,15,1.09,2.02
1070,503,2790,30,0.47,2.61
1851,598,5240,31,0.32,2.83
3120,1073,9060,30,0.34,2.90
285,132,780,15,0.46,2.74
3975,2039,11660,31,0.51,2.93
935,287,2420,30,0.31,2.59
1633,522,4680,31,0.32,2.87
3787,1058,11100,32,0.28,2.93
3031,767,8820,30,0.25,2.91
2100,592,5940,29,0.28,2.83
622,322,1640,22,0.52,2.64
439,117,1190,15,0.27,2.71
4426,1144,13080,33,0.26,2.96
4731,1250,13940,32,0.26,2.95
3193,922,9300,29,0.29,2.91
3757,928,10970,33,0.25,2.92
33,63,80,7,1.91,2.42
3823,1353,11160,33,0.35,2.92
3555,1029,10430,31,0.29,2.93
77,66,160,16,0.86,2.08
982,286,2580,31,0.29,2.63
3752,1322,10960,31,0.35,2.92
3303,853,9740,29,0.26,2.95
1916,1230,5390,30,0.64,2.81
3576,913,10520,32,0.26,2.94
60,83,120,12,1.38,2.00
4225,1208,12420,32,0.29,2.94
1539,353,4340,31,0.23,2.82
526,184,1400,21,0.35,2.66
2364,640,6730,30,0.27,2.85
302,90,820,15,0.30,2.72
3357,1257,9890,30,0.37,2.95
4534,1126,13360,32,0.25,2.95
1804,471,5140,29,0.26,2.85
228,67,560,15,0.29,2.46
4049,1173,11900,32,0.29,2.94
3460,868,10200,31,0.25,2.95
809,285,2110,30,0.35,2.61
4481,1182,13210,32,0.26,2.95
1824,594,5170,30,0.33,2.83
1900,507,5340,31,0.27,2.81
