Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3903,0,0,0,0.00,0.00
1500,0,0,0,0.00,0.00
1689,0,0,-1,0.00,0.00
3710,-3,0,0,-0.00,0.00
4688,-1,0,-3,-0.00,0.00
3708,-1,0,-2,-0.00,0.00
3235,-2,0,0,-0.00,0.00
2158,-2,0,-4,-0.00,0.00
3601,0,0,1,0.00,0.00
4751,-1,0,0,-0.00,0.00
4139,-1,0,2,-0.00,0.00
272,-2,0,-3,-0.01,0.00
2458,0,0,0,0.00,0.00
2673,0,0,-1,0.00,0.00
3152,-1,0,0,-0.00,0.00
2385,0,0,0,0.00,0.00
2206,0,0,-2,0.00,0.00
3023,-1,0,0,-0.00,0.00
1057,0,0,0,0.00,0.00
1557,-1,0,-11,-0.00,0.00
181,0,0,0,0.00,0.00
2045,0,0,2,0.00,0.00
1132,0,0,-1,0.00,0.00
222,-1,0,6,-0.00,0.00
4389,0,0,-1,0.00,0.00
28,-1,0,0,-0.04,0.00
2796,0,0,-2,0.00,0.00
3533,0,0,-5,0.00,0.00
407,0,0,-1,0.00,0.00
3225,0,0,1,0.00,0.00
1226,-1,0,1,-0.00,0.00
439,-3,0,2,-0.01,0.00
771,0,0,-2,0.00,0.00
60,-1,0,-5,-0.02,0.00
3661,0,0,-2,0.00,0.00
2565,-1,0,0,-0.00,0.00
441,0,0,0,0.00,0.00
1289,-1,0,0,-0.00,0.00
4159,-1,0,-2,-0.00,0.00
149,-1,0,2,-0.01,0.00
1156,-1,0,-1,-0.00,0.00
3410,-2,0,-16,-0.00,0.00
156,-1,0,0,-0.01,0.00
1655,0,0,0,0.00,0.00
4625,0,0,0,0.00,0.00
2176,0,0,-2,0.00,0.00
3701,-1,0,-3,-0.00,0.00
4114,0,0,-3,0.00,0.00
4628,-1,0,-1,-0.00,0.00
2578,-1,0,0,-0.00,0.00
1856,0,0,-1,0.00,0.00
3807,0,0,-1,0.00,0.00
2378,0,0,0,0.00,0.00
2058,-1,0,1,-0.00,0.00
662,0,0,1,0.00,0.00
131,0,0,-1,0.00,0.00
1854,0,0,0,0.00,0.00
343,0,0,0,0.00,0.00
4141,-1,0,0,-0.00,0.00
227,0,0,4,0.00,0.00
2751,-2,0,-2,-0.00,0.00
4766,-1,0,-2,-0.00,0.00
2711,-1,0,0,-0.00,0.00
6,-11,0,0,-1.83,0.00
2530,0,0,0,0.00,0.00
2870,0,0,-1,0.00,0.00
3242,-2,0,-1,-0.00,0.00
325,0,0,7,0.00,0.00
3288,-1,0,0,-0.00,0.00
3104,-1,0,0,-0.00,0.00
3853,-1,0,0,-0.00,0.00
4426,-1,0,0,-0.00,0.00
985,0,0,-1,0.00,0.00
1251,-1,0,2,-0.00,0.00
2784,-1,0,0,-0.00,0.00
2229,0,0,1,0.00,0.00
2717,0,0,-1,0.00,0.00
2407,0,0,-1,0.00,0.00
2463,-1,0,0,-0.00,0.00
610,0,0,-11,0.00,0.00
2402,-2,0,0,-0.00,0.00
1531,-1,0,-2,-0.00,0.00
235,-2,0,0,-0.01,0.00
832,0,0,-4,0.00,0.00
2251,-1,0,0,-0.00,0.00
4406,-1,0,1,-0.00,0.00
4574,0,0,1,0.00,0.00
4670,0,0,-1,0.00,0.00
2408,-1,0,0,-0.00,0.00
478,-1,0,-2,-0.00,0.00
3137,-1,0,0,-0.00,0.00
4478,0,0,0,0.00,0.00
2713,0,0,-2,0.00,0.00
3879,-3,0,0,-0.00,0.00
1469,-2,0,0,-0.00,0.00
4994,-1,0,-1,-0.00,0.00
4510,-4,0,1,-0.00,0.00
589,0,0,0,0.00,0.00
2500,-1,0,0,-0.00,0.00
2851,0,0,0,0.00,0.00
