Concurrent Users,Total Waiting Time (seed 10),Total Service Time (seed 10), Maximum Workload (seed 10),Average Waiting Time (seed 10),Average Service Time (seed 10),,Concurrent Users,Total Waiting Time (seed 10),Total Service Time (seed 10), Maximum Workload (seed 10),Average Waiting Time (seed 10),Average Service Time (seed 10),,Concurrent Users,Total Waiting Time Difference,Total Service Time Difference, Maximum Workload Difference,Average Waiting Time Difference,Average Service Time Difference
531,242,1590,25,0.46,2.99,,531,242,1590,27,0.46,2.99,,48,-1,0,0,-0.02,0
4973,1409,15260,46,0.28,3.07,,4973,1409,15260,46,0.28,3.07,,83,0,0,-2,0,0
3642,1826,11230,47,0.5,3.08,,3642,1827,11230,44,0.5,3.08,,112,0,0,0,0,0
4920,2583,15090,44,0.53,3.07,,4920,2583,15090,47,0.53,3.07,,112,-2,0,-1,-0.02,0
3592,1253,11100,46,0.35,3.09,,3592,1256,11100,45,0.35,3.09,,207,-2,0,0,-0.01,0
48,58,130,17,1.21,2.71,,48,59,130,17,1.23,2.71,,280,-1,0,-1,0,0
1997,700,6080,28,0.35,3.04,,1997,700,6080,27,0.35,3.04,,315,0,0,-1,0,0
4159,1634,12690,45,0.39,3.05,,4159,1634,12690,44,0.39,3.05,,467,-1,0,-1,0,0
2192,500,6750,24,0.23,3.08,,2192,501,6750,27,0.23,3.08,,531,0,0,-2,0,0
3313,1001,10240,46,0.3,3.09,,3313,1001,10240,46,0.3,3.09,,560,0,0,2,0,0
4118,1165,12540,45,0.28,3.05,,4118,1165,12540,47,0.28,3.05,,572,0,0,1,0,0
4427,1221,13680,45,0.28,3.09,,4427,1222,13680,46,0.28,3.09,,585,0,0,-4,0,0
2391,805,7280,46,0.34,3.04,,2391,805,7280,45,0.34,3.04,,606,-1,0,-1,0,0
3463,807,10730,45,0.23,3.1,,3463,808,10730,47,0.23,3.1,,618,0,0,-1,0,0
1007,424,3010,26,0.42,2.99,,1007,425,3010,28,0.42,2.99,,659,-1,0,-3,0,0
3190,864,9830,45,0.27,3.08,,3190,864,9830,45,0.27,3.08,,679,-1,0,1,0,0
2568,728,7780,44,0.28,3.03,,2568,728,7780,45,0.28,3.03,,720,-1,0,0,0,0
993,402,2940,27,0.4,2.96,,993,404,2940,28,0.41,2.96,,794,-2,0,-2,0,0
867,288,2600,26,0.33,3,,867,289,2600,28,0.33,3,,867,-1,0,-2,0,0
2690,1143,8110,46,0.42,3.01,,2690,1144,8110,46,0.43,3.01,,993,-2,0,-1,0,0
1287,349,3840,26,0.27,2.98,,1287,349,3840,27,0.27,2.98,,1007,-1,0,-2,0,0
3041,1940,9240,45,0.64,3.04,,3041,1941,9240,54,0.64,3.04,,1287,0,0,-1,0,0
4077,1409,12480,42,0.35,3.06,,4077,1411,12480,46,0.35,3.06,,1319,0,0,4,0,0
1409,433,4240,27,0.31,3.01,,1409,434,4240,26,0.31,3.01,,1327,-1,0,0,0,0
2625,768,7880,46,0.29,3,,2625,769,7880,46,0.29,3,,1409,-1,0,1,0,0
467,210,1460,21,0.45,3.13,,467,211,1460,22,0.45,3.13,,1435,0,0,-1,0,0
4461,1351,13730,42,0.3,3.08,,4461,1352,13730,44,0.3,3.08,,1502,-2,0,1,0,0
112,61,340,20,0.54,3.04,,112,61,340,20,0.54,3.04,,1538,0,0,-1,0,0
1327,767,4000,27,0.58,3.01,,1327,768,4000,27,0.58,3.01,,1636,-1,0,0,0,0
3392,1697,10520,45,0.5,3.1,,3392,1697,10520,40,0.5,3.1,,1715,-1,0,0,0,0
2370,697,7190,46,0.29,3.03,,2370,697,7190,45,0.29,3.03,,1716,-1,0,0,0,0
2558,670,7750,45,0.26,3.03,,2558,670,7750,43,0.26,3.03,,1726,0,0,0,0,0
2940,736,8920,45,0.25,3.03,,2940,737,8920,46,0.25,3.03,,1828,-1,0,-32,0,0
280,113,960,19,0.4,3.43,,280,114,960,20,0.41,3.43,,1928,0,0,-1,0,0
3462,1600,10730,46,0.46,3.1,,3462,1600,10730,45,0.46,3.1,,1997,0,0,1,0,0
794,291,2370,26,0.37,2.98,,794,293,2370,28,0.37,2.98,,2003,-1,0,0,0,0
4729,1531,14520,45,0.32,3.07,,4729,1533,14520,45,0.32,3.07,,2010,-1,0,1,0,0
4944,1708,15190,44,0.35,3.07,,4944,1709,15190,44,0.35,3.07,,2026,-2,0,0,0,0
4289,2029,13160,46,0.47,3.07,,4289,2029,13160,45,0.47,3.07,,2051,0,0,-1,0,0
1726,491,5260,27,0.28,3.05,,1726,491,5260,27,0.28,3.05,,2074,0,0,2,0,0
