Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
3409,1167,10440,34,0.34,3.06
3707,1075,11440,34,0.29,3.09
2527,759,7790,26,0.30,3.08
4901,1494,15050,32,0.30,3.07
3004,805,9360,31,0.27,3.12
2846,876,8810,26,0.31,3.10
605,275,1790,24,0.45,2.96
4323,1656,13320,33,0.38,3.08
4925,2291,15120,34,0.47,3.07
4149,1562,12780,33,0.38,3.08
1419,544,4070,25,0.38,2.87
2673,733,8200,24,0.27,3.07
3083,886,9600,31,0.29,3.11
871,260,2640,25,0.30,3.03
2071,604,6100,23,0.29,2.95
2926,792,9080,32,0.27,3.10
1129,684,3370,24,0.61,2.98
2180,614,6460,23,0.28,2.96
937,322,2860,26,0.34,3.05
2426,805,7490,24,0.33,3.09
4570,1197,14180,34,0.26,3.10
1887,531,5520,26,0.28,2.93
4822,1191,14810,33,0.25,3.07
3957,1189,12180,34,0.30,3.08
3771,1630,11660,32,0.43,3.09
1807,515,5270,24,0.29,2.92
4066,1192,12570,34,0.29,3.09
2671,854,8200,25,0.32,3.07
2866,861,8830,26,0.30,3.08
3591,1030,11040,34,0.29,3.07
4199,1233,12910,34,0.29,3.07
3825,1530,11820,34,0.40,3.09
4890,1269,15020,34,0.26,3.07
28,54,160,8,1.93,5.71
4781,1357,14730,33,0.28,3.08
63,61,250,15,0.97,3.97
3633,1059,11160,34,0.29,3.07
2218,676,6620,26,0.30,2.98
1189,314,3530,24,0.26,2.97
1884,528,5510,25,0.28,2.92
383,179,1130,22,0.47,2.95
69,53,250,12,0.77,3.62
392,175,1140,23,0.45,2.91
1591,482,4640,26,0.30,2.92
4035,1262,12510,33,0.31,3.10
51,52,210,10,1.02,4.12
1408,444,4010,24,0.32,2.85
2725,732,8350,24,0.27,3.06
54,54,210,13,1.00,3.89
4325,1203,13350,33,0.28,3.09
1719,576,4970,26,0.34,2.89
312,142,890,17,0.46,2.85
569,204,1650,23,0.36,2.90
541,274,1550,23,0.51,2.87
950,293,2920,23,0.31,3.07
3083,879,9600,32,0.29,3.11
1687,564,4840,27,0.33,2.87
3612,1001,11120,34,0.28,3.08
3843,1148,11880,31,0.30,3.09
3667,1130,11300,34,0.31,3.08
1941,592,5790,26,0.30,2.98
2673,750,8200,24,0.28,3.07
486,215,1360,26,0.44,2.80
4962,1383,15310,34,0.28,3.09
1501,441,4330,24,0.29,2.88
2844,749,8810,27,0.26,3.10
3291,1183,10100,34,0.36,3.07
1834,564,5370,25,0.31,2.93
2996,898,9340,32,0.30,3.12
4644,2573,14310,33,0.55,3.08
1873,588,5490,27,0.31,2.93
4941,1664,15190,34,0.34,3.07
4649,1238,14310,32,0.27,3.08
890,271,2720,22,0.30,3.06
3818,1078,11780,34,0.28,3.09
4682,1665,14410,34,0.36,3.08
4077,1189,12600,32,0.29,3.09
1452,588,4190,23,0.40,2.89
3686,1487,11400,34,0.40,3.09
2110,635,6230,26,0.30,2.95
3504,1071,10760,34,0.31,3.07
898,280,2750,25,0.31,3.06
1967,882,5850,26,0.45,2.97
1705,535,4930,24,0.31,2.89
1124,547,3360,26,0.49,2.99
4137,1145,12730,34,0.28,3.08
1670,551,4810,27,0.33,2.88
4326,1473,13350,33,0.34,3.09
2099,632,6200,26,0.30,2.95
2922,780,9080,29,0.27,3.11
3884,1097,11970,33,0.28,3.08
228,135,700,24,0.59,3.07
2631,626,8080,25,0.24,3.07
1369,390,3940,24,0.28,2.88
2400,967,7380,24,0.40,3.08
1276,446,3680,26,0.35,2.88
971,279,2980,25,0.29,3.07
2982,847,9310,31,0.28,3.12
3012,857,9380,31,0.28,3.11
3510,966,10760,33,0.28,3.07
