Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
2711,649,7820,30,0.24,2.88
1830,539,5200,29,0.29,2.84
1131,333,2930,30,0.29,2.59
2226,510,6340,30,0.23,2.85
3167,903,9220,30,0.29,2.91
1433,371,4020,28,0.26,2.81
4912,1258,14440,30,0.26,2.94
847,299,2190,30,0.35,2.59
1237,347,3420,28,0.28,2.76
286,106,780,15,0.37,2.73
3257,944,9530,30,0.29,2.93
2257,643,6400,31,0.28,2.84
4070,1028,11940,30,0.25,2.93
4023,1408,11800,31,0.35,2.93
3503,806,10290,30,0.23,2.94
4465,1268,13150,30,0.28,2.95
1415,323,3950,23,0.23,2.79
3181,890,9260,30,0.28,2.91
3186,904,9280,29,0.28,2.91
2534,1191,7280,30,0.47,2.87
147,52,290,15,0.35,1.97
1535,437,4320,30,0.28,2.81
2107,758,5980,31,0.36,2.84
457,126,1230,17,0.28,2.69
2702,784,7770,30,0.29,2.88
129,139,260,13,1.08,2.02
1070,501,2790,30,0.47,2.61
1851,598,5240,31,0.32,2.83
3120,1073,9060,30,0.34,2.90
285,131,780,16,0.46,2.74
3975,2039,11660,31,0.51,2.93
935,285,2420,30,0.30,2.59
1633,522,4680,30,0.32,2.87
3787,1058,11100,31,0.28,2.93
3031,767,8820,30,0.25,2.91
2100,590,5940,30,0.28,2.83
622,322,1640,21,0.52,2.64
439,116,1190,15,0.26,2.71
4426,1144,13080,31,0.26,2.96
4731,1249,13940,33,0.26,2.95
3193,920,9300,31,0.29,2.91
3757,926,10970,32,0.25,2.92
33,62,80,8,1.88,2.42
3823,1352,11160,30,0.35,2.92
3555,1029,10430,32,0.29,2.93
77,66,160,15,0.86,2.08
982,284,2580,28,0.29,2.63
3752,1320,10960,31,0.35,2.92
3303,852,9740,28,0.26,2.95
1916,1230,5390,29,0.64,2.81
3576,912,10520,32,0.26,2.94
60,81,120,11,1.35,2.00
4225,1206,12420,31,0.29,2.94
1539,353,4340,29,0.23,2.82
